"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SKBI","Skystar Bio-Pharmaceutical Company","3.77","27000740","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SKBI&selected=SKBI",
"SKYW","SkyWest, Inc.","12.95","684873700","1986","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SKYW&selected=SKYW",
"SWKS","Skyworks Solutions, Inc.","20.53","3822419110","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SWKS&selected=SWKS",
"SMBL","Smart Balance Inc","5.18","308163380","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMBL&selected=SMBL",
"SMOD","SMART Modular Technologies (WWH), Inc.","9.02","588094980","1995","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMOD&selected=SMOD",
"SMT","SMART Technologies Inc.","4.86","215341740","1994","Technology","Computer peripheral equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMT&selected=SMT",
"HEAT","SmartHeat Inc.","0.975","37636950","n/a","Capital Goods","Building Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=HEAT&selected=HEAT",
"SPRO","SmartPros Ltd.","1.99","9790800","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPRO&selected=SPRO",
"FUEL","SMF Energy Corporation","1.65","13861650","1986","Energy","Oil Refining/Marketing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUEL&selected=FUEL",
"SWHC","Smith & Wesson Holding Corporation","2.98","191718300","n/a","Capital Goods","Ordnance And Accessories","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SWHC&selected=SWHC",
"SMSI","Smith Micro Software, Inc.","1.9","68153000","1984","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMSI&selected=SMSI",
"SMTX","SMTC Corporation","2.01","30853500","2000","Technology","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMTX&selected=SMTX",
"SCKT","Socket Mobile, Inc.","2.19","9279030","1995","Technology","Computer Manufacturing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SCKT&selected=SCKT",
"SODA","SodaStream International Ltd.","67.89","1356713760","1987","Consumer Durables","Consumer Electronics/Appliances","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SODA&selected=SODA",
"SOHU","Sohu.com Inc.","73.73","2823342890","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SOHU&selected=SOHU",
"SLRC","Solar Capital Ltd.","21.03","767132340","2010","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SLRC&selected=SLRC",
"SUNS","Solar Senior Capital Ltd.","16","152000000","1993","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SUNS&selected=SUNS",
"SZYM","Solazyme, Inc.","14.6","828360200","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SZYM&selected=SZYM",
"SLTM","Solta Medical, Inc","1.86","112714140","1983","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SLTM&selected=SLTM",
"SOMX","Somaxon Pharmaceuticals, Inc.","0.9901","44559450.5","2005","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SOMX&selected=SOMX",
"SOMH","Somerset Hills Bancorp","8","43648000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SOMH&selected=SOMH",
"SNSTA","Sonesta International Hotels Corporation","18.6","68782800","n/a","Consumer Services","Hotels/Resorts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SNSTA&selected=SNSTA",
"SONC","Sonic Corp.","9.08","561153080","1991","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SONC&selected=SONC",
"SOFO","Sonic Foundry, Inc.","12.39","46797030","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SOFO&selected=SOFO",
"SONO","SonoSite, Inc.","29.29","404377740","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SONO&selected=SONO",
"SONS","Sonus Networks, Inc.","2.44","679227680","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SONS&selected=SONS",
"SORL","SORL Auto Parts, Inc.","4.22","81467100","n/a","Capital Goods","Auto Parts:O.E.M.","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SORL&selected=SORL",
"SDBT","SoundBite Communications, Inc.","2.4","39367200","2007","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SDBT&selected=SDBT",
"FIRE","Sourcefire, Inc.","26.47","752647980","2000","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FIRE&selected=FIRE",
"SOCB","Southcoast Financial Corporation","1.88","9928280","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SOCB&selected=SOCB",
"SCMF","Southern Community Financial Corporation","1.6499","27781016.2","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SCMF&selected=SCMF",
"SCMFO","Southern Community Financial Corporation","4.05","12150000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SCMFO&selected=SCMFO",
"SFST","Southern First Bancshares, Inc.","8","27792000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SFST&selected=SFST",
"SMBC","Southern Missouri Bancorp, Inc.","22.78","47792440","n/a","Finance","Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMBC&selected=SMBC",
"SONA","Southern National Bancorp of Virginia, Inc.","6.83","79159700","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SONA&selected=SONA",
"SBSI","Southside Bancshares, Inc.","19.7","323887700","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBSI&selected=SBSI",
"SWTX","Southwall Technologies, Inc.","12.75","74103000","1987","Capital Goods","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SWTX&selected=SWTX",
"OKSB","Southwest Bancorp, Inc.","5.41","105164990","1993","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=OKSB&selected=OKSB",
"OKSBP","Southwest Bancorp, Inc.","19.15","26427000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=OKSBP&selected=OKSBP",
"SPBC","SP Bancorp, Inc.","11.0001","18975172.5","2010","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPBC&selected=SPBC",
"SPAN","Span-America Medical Systems, Inc.","13.85","38572250","1983","Health Care","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPAN&selected=SPAN",
"SBSA","Spanish Broadcasting System, Inc.","2.95","12292650","1999","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBSA&selected=SBSA",
"SGRP","SPAR Group, Inc.","1.2","23176800","n/a","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SGRP&selected=SGRP",
"SPAR","Spartan Motors, Inc.","4.6","153382400","n/a","Capital Goods","Auto Manufacturing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPAR&selected=SPAR",
"SPTN","Spartan Stores, Inc.","15.68","354132800","n/a","Consumer Non-Durables","Food Distributors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPTN&selected=SPTN",
"SPPI","Spectrum Pharmaceuticals, Inc.","8.7","452765400","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPPI&selected=SPPI",
"SPEX","Spherix Incorporated","1.68","4304160","n/a","Consumer Services","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPEX&selected=SPEX",
