GBS,HASTC,Click&Phone Securities Joint Stock Company
GDT,HOSE,Duc Thanh Wood Processing Joint Stock Company
GFC,HASTC,Gentraco Feed Joint Stock Company
GGG,HASTC,GiaiPhong Motor Joint Stock Company
GHA,HASTC,Hai Au HAPACO Joint Stock Company
GIL,HOSE,Binh Thanh Import - Export Product and Trade Joint Stock Co
GLT,HASTC,Global Electrical Technologies Corporation
GMC,HOSE,SaiGon Garment Manufacturing Trade JSC
GMD,HOSE,Gemadept Corporation
GTA,HOSE,Thuan An Wood Processing Joint Stock Company
GTT,HOSE,Thuan Thao Corporation
HAD,HASTC,Ha Noi - Hai Duong Beer Joint Stock Company
HAG,HOSE,HAGL Joint Stock Company
HAI,HOSE,H.A.I Join Stock Company
HAP,HOSE,HAPACO Joint Stock Company
HAS,HOSE,Hanoi P&T Construction and Installation Joint Stock Company
HAT,HASTC,Ha Noi Beer Trading Joint Stock Company
HAX,HOSE,Hang Xanh Motors Service JSC
HBB,HASTC,Hanoi Building Joint Stock Bank
HBC,HOSE,Hoa Binh Construction & Real Estate Corporation
HBD,HASTC,Binh Duong PP Pack Making Joint Stock Company
HBE,HASTC,Ha Tinh Book And Equiptment Education Joint Stock COmpany
HBS,HASTC,Hoa Binh Securities Joint Stock Company
HCC,HASTC,Hoa Cam Concrete Joint Stock Company
HCM,HOSE,Ho Chi Minh City Securities Corporation
HCT,HASTC,Hai Phong Cement Transport And Trading Joint Stock Company
HDA,HASTC,Dong A Paint Joint Stock Company
HDC,HOSE,Ba Ria – Vung Tau House Development Joint Stock Company
HDG,HOSE,Ha Do Joint Stock Company
HDO,HASTC,Hung Dao Container Joint Stock Company
HEV,HASTC,Higher Educational And Vocational Book Joint Stock Company
HGM,HASTC,Ha Giang Mineral and Mechanics Joint Stock Company
HHC,HASTC,Haiha Confectionery Joint-Stock Company
HHG,HASTC,Hoàng Ha Joint Stock Company
HHL,HASTC,Hong Ha Long An Joint Stock Company
HJS,HASTC,Nam Mu Hydropower Joint Stock Company
HLA,HOSE,Huu Lien Asia Corporation
HLC,HASTC,Ha Lam - TKV Coal Joint Stock Company
HLG,HOSE,Hoang Long Group
HLY,HASTC,Ha Long I - Viglacera JSC
HMC,HOSE,HoChiMinh City Metal Corporation
HMH,HASTC,HAI MINH Corporation
HNM,HASTC,Ha Noi Milk Joint Stock Company
HOM,HASTC,Hoang Mai Cement Joint Stock Company
HPB,HASTC,PP Pack Marking Joint Stock Company
HPC,HASTC,Haiphong Securities Joint Stock Company
HPG,HOSE,Hoa Phat Group Joint Stock Company
HPS,HASTC,Hoa Phat Construction Stone Joint stock Company
HQC,HOSE,Hoang Quan Consulting – Trading – Service Real Estate Corporation
HRC,HOSE,Hoa Binh Rubber Joint Stock Company
HSC,HASTC,Hacinco Joint Stock Company
HSG,HOSE,HOASEN Group
HSI,HOSE,General Materials Biochemistry Fertilizer Joint Stock Company
HST,HASTC,
HT1,HOSE,Ha Tien 1 Cement Joint Stock Company
HT2,HOSE,HATIEN2 Cement Joint Stock Company
